condition,replicate,steps,count
1,1,1,23
1,1,2,65
1,1,3,29
1,1,4,36
1,1,5,3
1,1,6,5
1,1,7,5
1,2,1,16
1,2,2,66
1,2,3,29
1,2,4,39
1,2,5,8
1,2,6,3
1,2,7,4
1,3,1,26
1,3,2,64
1,3,3,29
1,3,4,44
1,3,5,3
1,3,6,3
1,3,7,4
2,1,1,10
2,1,2,31
2,1,3,45
2,1,4,61
2,1,5,5
2,1,6,3
2,1,7,2
2,2,1,9
2,2,2,36
2,2,3,46
2,2,4,60
2,2,5,6
2,2,6,3
2,2,7,1
2,3,1,12
2,3,2,29
2,3,3,43
2,3,4,65
2,3,5,5
2,3,6,5
2,3,7,1
3,1,1,23
3,1,2,69
3,1,3,34
3,1,4,46
3,1,5,4
3,1,6,5
3,1,7,4
3,2,1,30
3,2,2,76
3,2,3,36
3,2,4,50
3,2,5,2
3,2,6,3
3,2,7,7
3,3,1,15
3,3,2,65
3,3,3,30
3,3,4,50
3,3,5,5
3,3,6,2
3,3,7,8
4,1,1,15
4,1,2,36
4,1,3,46
4,1,4,70
4,1,5,3
4,1,6,4
4,1,7,3
4,2,1,9
4,2,2,33
4,2,3,44
4,2,4,63
4,2,5,8
4,2,6,5
4,2,7,3
4,3,1,19
4,3,2,45
4,3,3,56
4,3,4,78
4,3,5,5
4,3,6,5
4,3,7,5
5,1,1,5
5,1,2,16
5,1,3,23
5,1,4,39
5,1,5,3
5,1,6,4
5,1,7,3
5,2,1,6
5,2,2,23
5,2,3,34
5,2,4,51
5,2,5,9
5,2,6,4
5,2,7,8
5,3,1,16
5,3,2,45
5,3,3,60
5,3,4,83
5,3,5,5
5,3,6,6
5,3,7,3
